epoch,acc,loss,lr,val_acc,val_loss
0,0.6453002,1.3847850196215572,0.001,0.49731812,3.4242649504116605
1,0.7320985,0.9460409924286564,0.001,0.65014786,1.3757647275924683
2,0.7695483,0.8119350108159643,0.001,0.70652574,1.0905044568436486
3,0.77699584,0.7772093930212008,0.001,0.77242213,0.80078815136637
4,0.8051298,0.6854424705716218,0.001,0.7218693,1.0474787056446075
5,0.8133175,0.6517954197059683,0.001,0.7964753,0.7161545625754765
6,0.82102895,0.6213550565599584,0.001,0.7936347,0.726145938038826
7,0.82389146,0.607605310524402,0.001,0.7589459,0.8922661415168217
8,0.8340761,0.5732591462378599,0.001,0.82758766,0.600590777184282
9,0.842269,0.5422151980756902,0.001,0.8377303,0.5687952935695648
10,0.8453133,0.5272886414511674,0.001,0.826466,0.6157363748976162
11,0.8494889,0.5120796293628459,0.001,0.82519084,0.5988720144544329
12,0.85321254,0.49621428721616057,0.001,0.8465063,0.5271597472684724
13,0.86000925,0.47237302717708407,0.001,0.7420473,0.9505889149648803
14,0.86260575,0.4589606381597973,0.001,0.8542178,0.49087302067450117
15,0.86688995,0.44455243981614406,0.001,0.7740959,0.8024977019854954
16,0.86313707,0.457459698120753,0.001,0.82680947,0.5663162459220205
17,0.8702161,0.4316806114044319,0.001,0.85601854,0.5200749837926456
18,0.87393606,0.4147305398368511,0.001,0.8457891,0.5137694499322346
19,0.8745344,0.4121721941394871,0.001,0.8529269,0.48325351093496594
20,0.8767307,0.4039455429226363,0.001,0.85588276,0.5043329436864171
21,0.88128155,0.3876787761644441,0.001,0.84698683,0.5110456996730396
22,0.88281435,0.3824552952432308,0.001,0.8742719,0.42560414916702677
23,0.8885028,0.36306420333531436,0.001,0.86804485,0.4449382498860359
24,0.8884592,0.36204076624241005,0.001,0.86282057,0.46661331611020224
25,0.8917756,0.35014275405682677,0.001,0.8764611,0.4313065563993795
26,0.8951063,0.3362131204937591,0.001,0.87427074,0.4459411155964647
27,0.89438695,0.33993168094125736,0.001,0.87624824,0.4227555681552206
28,0.8949939,0.3363105087053208,0.001,0.883317,0.3873862847685814
29,0.90020007,0.31777204329870185,0.001,0.86362916,0.48102688044309616
